#        TCE       KIC           Source       KIC  Prat    Dist ΔRow ΔCol   Mag2   ΔMag     Drat      Mechanism Flag  Psig  Tsig
003732894-01 003732894          6364.01 003836439  1:1    155.0   24  -31   7.57   6.73 1.1229E+03   Direct-PRF    0 1.865 1.026
003732972-01 003732972          6364.01 003836439  1:1    133.6   -1  -33   7.57   5.68 1.1410E+03   Direct-PRF    0 0.784 0.868
003735634-01 003735634          3544.01 003735629  1:1      6.8    0   -2  16.14  -2.23 8.6147E+01   Direct-PRF    0 0.124 0.068
003834360-01 003834360          6362.01 003834364  1:1     11.4    0   -3  14.66   0.06 1.8761E+02   Direct-PRF    0 0.760 0.374
003836375-01 003836375          6363.01 003836413  1:1     40.3    9    5  13.76   2.21 1.2258E+02   Direct-PRF    0 0.255 0.047
003836399-01 003836399          6363.01 003836413  1:1     13.0    2    3  13.76   0.69 1.3314E+02   Direct-PRF    0 2.305 1.259
003836413-01 003836413          6364.01 003836439  1:1     27.2    7    0   7.57   6.19 1.6274E+00   Direct-PRF    0 0.887 0.460
003836413-02 003836413          6364.01 003836439  1:2     27.2    7    0   7.57   6.19 4.0676E+00   Direct-PRF    0 0.307 0.092
003836439-01 003836439          6363.01 003836413  1:1     27.2   -7    0  13.76  -6.19 1.0533E+00   Direct-PRF    1 0.485 0.264
003836439-02 003836439          6363.01 003836413  1:2     27.2   -7    0  13.76  -6.19 1.4627E+02   Direct-PRF    1 0.369 0.068
003836450-01 003836450          6364.01 003836439  1:1    118.2  -19   23   7.57   5.76 1.4437E+03   Direct-PRF    0 0.728 0.241
003836453-01 003836453          6363.01 003836413  1:1     38.9   -4   -9  13.76  -1.70 5.5758E+02   Direct-PRF    0 0.483 0.149
003836453-02 003836453          6363.01 003836413  1:2     38.9   -4   -9  13.76  -1.70 3.9031E+03   Direct-PRF    0 4.996 1.332
003836509-01 003836509          6363.01 003836413  1:1     98.7  -25   -3  13.76  -0.20 2.0043E+02   Direct-PRF    0 0.765 0.255
003836522-01 003836522          6363.01 003836413  1:1    110.5  -16  -23  13.76   1.08 2.0715E+02   Direct-PRF    0 1.254 0.564
