003743834-pri 003743834    0.27361480 54964.543136  0.1340 0.426000
003743834-sec 003743834    0.27361480 54964.679697  0.1216 0.337300
003745184-pri 003745184    0.30423280 54964.732045  0.1664 0.392100
003745184-sec 003745184    0.30423280 54964.884770  0.1027 0.216000
003749508-pri 003749508    1.06573370 54954.377220  0.0577 0.004700
003756730-pri 003756730    0.37916390 54964.961909  0.2692 0.036000
003756730-sec 003756730    0.37916390 54965.160325  0.2344 0.033200
003757588-pri 003757588   24.08998090 54987.285063  0.0151 0.005600
003757588-sec 003757588   24.08998090 55000.982626  0.0148 0.001600
003757590-pri 003757590  135.58606980 55010.927823  0.0014 0.337900
003757778-pri 003757778   36.51439670 55215.879921  0.0071 0.117300
003757778-sec 003757778   36.51439670 55239.793199  0.0105 0.005100
003761175-pri 003761175    5.16234340 55169.325620  0.2462 0.001800
003761175-sec 003761175    5.16234340 55171.616152  0.2227 0.001300
003764714-pri 003764714    6.63327580 55000.373734  0.0541 0.000500
003765708-pri 003765708    0.43141890 55002.136735  0.2138 0.131800
003765708-sec 003765708    0.43141890 55002.354041  0.2546 0.126300
003765771-pri 003765771    5.56771740 54969.011606  0.0200 0.001100
003766353-pri 003766353    2.66696480 54966.722400  0.0279 0.011400
003766353-sec 003766353    2.66696480 54968.514600  0.0304 0.006300
003830820-pri 003830820   15.58278800 54968.114264  0.0084 0.041500
003830820-sec 003830820   15.58278800 54976.901398  0.0119 0.005300
003832382-pri 003832382    0.27264870 54964.603149  0.1530 0.414400
003832382-sec 003832382    0.27264870 54964.741055  0.1242 0.315400
003832716-pri 003832716    1.14187720 54954.237442  0.1146 0.310000
003832716-sec 003832716    1.14187720 54954.809408  0.1180 0.145700
003832716-pri 003832716    2.17010930 54953.978611  0.0668 0.007100
003833859-pri 003833859    0.43174330 54954.084827  0.2328 0.087900
003833859-sec 003833859    0.43174330 54954.301087  0.2462 0.088700
003834322-pri 003834322    0.99685800 54964.575359  0.0510 0.000200
003834364-pri 003834364    2.90845490 54965.314880  0.0322 0.060900
003834364-sec 003834364    2.90845490 54966.778124  0.0360 0.007700
003836439-pri 003836439    1.54039540 54954.213023  0.0593 0.061300
003836439-sec 003836439    1.54039540 54954.981988  0.0507 0.016000
003836522-pri 003836522    1.54037970 55003.511422  0.0573 0.000700
003837677-pri 003837677    0.46198410 54964.806673  0.2049 0.163500
003837677-sec 003837677    0.46198410 54965.040345  0.2267 0.155200
003838496-pri 003838496    5.98039650 55002.007500  0.0448 0.236300
003838496-sec 003838496    5.98039650 55004.998894  0.0392 0.192200
003839964-pri 003839964    0.25614990 54964.791432  0.1066 0.095200
003839964-sec 003839964    0.25614990 54964.918713  0.1418 0.081600
003848042-pri 003848042    0.41145270 54964.758310  0.2541 0.064200
003848042-sec 003848042    0.41145270 54964.964942  0.2323 0.063100
003848919-pri 003848919    1.04726030 54964.765586  0.0986 0.379200
003848919-sec 003848919    1.04726030 54965.289111  0.0987 0.341800
003848972-pri 003848972    0.74105740 55001.998566  0.0576 0.001900
003848972-sec 003848972    0.74105740 55002.369169  0.0562 0.001700
003849155-pri 003849155    1.16831330 54965.047161  0.0602 0.000300
003850086-pri 003850086   19.11424660 55012.165119  0.1278 0.000100
003851193-pri 003851193    1.34107870 54964.838287  0.1068 0.124000
003851193-sec 003851193    1.34107870 54965.508692  0.0702 0.018400
003851320-pri 003851320    1.23856930 55000.251155  0.2789 0.006900
003851320-sec 003851320    1.23856930 55000.934350  0.2569 0.003800
003851949-pri 003851949   54.77110780 54976.747861  0.0334 0.007300
003851949-sec 003851949   54.77110780 55011.987592  0.0235 0.001500
003852655-pri 003852655   11.62905800 55000.716753  0.0125 0.000100
003853259-pri 003853259    0.27664780 54964.780871  0.2480 0.128200
003853259-sec 003853259    0.27664780 54964.921159  0.2475 0.131800
003853673-pri 003853673    0.64379590 54965.687811  0.0860 0.000500
003858879-pri 003858879   25.95231090 55013.750021  0.0166 0.002800
003858879-sec 003858879   25.95231090 55033.728110  0.0309 0.001800
003858884-pri 003858884   25.95193090 54961.928697  0.0207 0.373100
003858884-sec 003858884   25.95193090 54981.924660  0.0293 0.302500
003858949-pri 003858949   25.95113870 54987.883881  0.0196 0.000500
003861595-pri 003861595    3.84936690 54959.728108  0.0289 0.001400
003862246-pri 003862246    4.70249350 54969.307559  0.0176 0.004100
003865298-pri 003865298    9.53063460 54967.812277  0.0206 0.287900
003865298-sec 003865298    9.53063460 54971.186122  0.0253 0.253400
003867593-pri 003867593   73.33202170 55042.964810  0.0047 0.094600
003869326-pri 003869326    8.58604400 54969.211375  0.0152 0.000800
003869825-pri 003869825    4.80065560 54972.135090  0.0741 0.015600
